00A04
00A16
00A28
00A40
00B10
00B22
00B34
00C04
00C16
00C28
00C40
01A04
01A16
01A28
01A40
01B04
01B16
01B28
01B40
01C04
01C16
01C28
01C40
02A06
02A18
02A30
02A42
02B04
02B16
02B28
02B40
02C02
02C14
02C26
02C38
02C50
03A06
03A18
03A30
03A42
03B02
03B14
03B26
03B38
03B50
03C10
03C22
03C34
03C46
04A04
04A16
04A28
04A40
04A52
04B12
04B24
04B36
04B48
04C08
04C20
04C32
04C44
05A04
05A16
05A28
05A40
05A52
05B12
05B24
05B36
05B48
05C08
05C20
05C32
05C44
06A04
06A16
06A28
06A40
06A52
06B12
06B24
06B36
06B48
06C08
06C20
06C32
06C44
07A06
07A18
07A30
07A42
07B00
07B12
07B24
07B36
07B48
07C08
07C20
07C32
07C44
08A06
08A18
08A30
08A42
08B06
08B18
08B30
08B42
08C06
08C18
08C30
08C42
09A06
09A18
09A30
09A42
09B06
09B18
09B30
09B42
09C06
09C18
09C30
09C42
10A00
10A12
10A24
10A36
10B04
10B16
10B28
10B40
10C08
10C20
10C32
10C44
11A06
11A18
11A30
11B02
11B14
11B26
11B38
11C10
11C22
11C34
12A00
12A12
12A24
12B04
12B16
12B28
12C08
12C20
12C32
